,model,pred
0,0.007446828,0.008217329
1,0.0070363,0.007346898
2,0.006709908,0.007138517
3,0.007137622,0.007518125
4,0.007118213,0.007593809
5,0.00691847,0.007539051
6,0.006777217,0.007215345
7,0.006795764,0.007209217
8,0.007009703,0.007524057
9,0.006819458,0.00716844
